date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,days_since_gap,gap_pct,gap_vol_ratio,gap_day_close_location_pct,gap_day_close_vs_open_pct,prior_65d_run_pct,prior_65d_weakness_pct,distance_to_52w_high_before_gap,holding_above_gap_open_days,gap_fill_pct,is_first_gap_in_6m,ep_tier,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-04-03,INDUSTOWER,EPISODIC_PIVOT,358.0,16.9,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.67,3.62,358.0,Gap 4.7% 2d ago on 3.6x vol,2,4.67,3.62,40.07,0.73,0.0,0.0,14.38,2,19.87,False,B,AVOID,76.74,62.37,2,8,0.5988,282,190,0.7,-3.04,3.74,3.53,-4.93,8.46,4.37,-3.53,7.9,11.97,3.36,8.61,7.22,1.21,6.01,3.91,-6.1,4.8,-6.1,17.74,-6.1,False,False,True,False,True
2025-04-08,RAINBOW,EPISODIC_PIVOT,1479.65,14.16,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.62,3.07,1479.65,Gap 4.6% 0d ago on 3.1x vol,0,4.62,3.07,57.34,0.62,-9.76,26.18,14.8,0,66.1,True,B,AVOID,37.42,39.53,1,1,0.6904,427,46,0.45,-0.97,1.42,5.78,4.5,1.28,1.59,6.12,-4.53,-5.58,6.59,-12.17,-8.6,8.96,-17.56,6.6,-1.26,6.6,-1.26,6.6,-7.47,False,False,True,True,False
2025-04-09,RAINBOW,EPISODIC_PIVOT,1486.35,14.16,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.62,3.07,1486.35,Gap 4.6% 1d ago on 3.1x vol,1,4.62,3.07,57.34,0.62,-9.76,26.18,14.8,1,66.1,True,B,AVOID,32.56,35.52,3,5,0.2159,148,325,2.99,2.47,0.52,1.74,6.5,-4.76,0.23,9.11,-8.88,-6.92,8.52,-15.44,-8.51,10.49,-19.0,6.12,0.32,6.12,0.04,6.12,-7.89,False,False,True,True,False
2025-04-11,LTFOODS,EPISODIC_PIVOT,354.35,41.87,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",9.07,4.62,354.35,Gap 9.1% 0d ago on 4.6x vol,0,9.07,4.62,90.08,1.1,-24.72,33.51,27.26,0,60.03,True,A+,DEFENSIVE,48.63,47.15,2,0,0.8959,423,50,1.74,2.98,-1.24,0.82,4.57,-3.75,1.93,7.14,-5.21,-0.55,6.02,-6.57,4.06,9.3,-5.24,2.82,-1.23,3.78,-2.06,5.81,-2.06,False,False,True,False,False
2025-04-11,JUBLPHARMA,EPISODIC_PIVOT,918.3,19.82,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.21,4.7,918.3,Gap 4.2% 0d ago on 4.7x vol,0,4.21,4.7,77.84,6.41,-19.17,25.35,26.72,0,58.45,True,B,DEFENSIVE,48.63,47.15,2,0,0.8959,423,50,0.17,2.98,-2.81,0.07,4.57,-4.5,-0.11,7.14,-7.25,-2.57,6.02,-8.59,-1.51,9.3,-10.81,1.03,-2.85,1.03,-2.85,5.41,-4.17,False,False,False,False,False
2025-04-11,SYRMA,EPISODIC_PIVOT,479.8,18.42,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.11,4.48,479.8,Gap 4.1% 0d ago on 4.5x vol,0,4.11,4.48,86.89,6.39,-29.52,40.3,33.06,0,28.09,False,B,DEFENSIVE,48.63,47.15,2,0,0.8959,423,50,2.64,2.98,-0.34,4.4,4.57,-0.17,7.76,7.14,0.62,0.22,6.02,-5.8,9.63,9.3,0.33,6.69,1.14,11.13,1.14,11.13,-0.41,False,False,True,True,True
2025-04-11,RAINBOW,EPISODIC_PIVOT,1530.85,14.16,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.62,3.07,1530.85,Gap 4.6% 2d ago on 3.1x vol,2,4.62,3.07,57.34,0.62,-9.76,26.18,14.8,2,66.1,True,B,DEFENSIVE,48.63,47.15,2,0,0.8959,423,50,2.24,2.98,-0.74,-1.81,4.57,-6.38,-5.69,7.14,-12.83,-11.34,6.02,-17.36,-9.99,9.3,-19.29,3.03,-2.23,3.03,-6.17,3.03,-11.81,False,False,True,False,False
2025-04-15,LTFOODS,EPISODIC_PIVOT,360.5,41.87,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",9.07,4.62,360.5,Gap 9.1% 1d ago on 4.6x vol,1,9.07,4.62,90.08,1.1,-24.72,33.51,27.26,1,60.03,True,A+,OFFENSIVE,68.5,62.16,11,0,0.9797,448,25,-2.54,0.93,-3.47,-0.86,3.41,-4.27,2.12,4.74,-2.62,-3.87,1.88,-5.75,0.76,7.26,-6.5,1.07,-3.73,4.01,-3.73,4.01,-4.42,False,False,False,False,False
2025-04-15,JUBLPHARMA,EPISODIC_PIVOT,919.9,19.82,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.21,4.7,919.9,Gap 4.2% 1d ago on 4.7x vol,1,4.21,4.7,77.84,6.41,-19.17,25.35,26.72,1,58.45,True,B,OFFENSIVE,68.5,62.16,11,0,0.9797,448,25,-0.43,0.93,-1.36,-0.43,3.41,-3.84,0.43,4.74,-4.31,-2.39,1.88,-4.27,-1.55,7.26,-8.81,0.86,-2.69,1.64,-2.69,5.22,-5.83,False,False,False,False,False
2025-04-15,SYRMA,EPISODIC_PIVOT,492.45,18.42,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.11,4.48,492.45,Gap 4.1% 1d ago on 4.5x vol,1,4.11,4.48,86.89,6.39,-29.52,40.3,33.06,1,28.09,False,B,OFFENSIVE,68.5,62.16,11,0,0.9797,448,25,0.46,0.93,-0.47,0.76,3.41,-2.65,5.74,4.74,1.0,-5.49,1.88,-7.37,7.54,7.26,0.28,3.35,-0.48,8.27,-0.48,8.27,-6.18,False,False,True,True,True
2025-04-16,LTFOODS,EPISODIC_PIVOT,351.35,41.87,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",9.07,4.62,351.35,Gap 9.1% 2d ago on 4.6x vol,2,9.07,4.62,90.08,1.1,-24.72,33.51,27.26,2,60.03,True,B,OFFENSIVE,73.15,67.86,10,1,0.6628,336,136,1.68,0.62,1.06,2.8,3.08,-0.28,3.74,3.7,0.04,-2.79,0.79,-3.58,5.55,7.56,-2.01,4.67,-1.22,6.72,-1.22,6.72,-4.0,False,False,True,True,False
2025-04-16,MOTHERSON,EPISODIC_PIVOT,128.34,25.27,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",8.26,3.06,128.34,Gap 8.3% 1d ago on 3.1x vol,1,8.26,3.06,52.08,-0.29,-21.91,30.4,26.92,1,30.71,False,B,OFFENSIVE,73.15,67.86,10,1,0.6628,336,136,1.04,0.62,0.42,3.86,3.08,0.78,6.12,3.7,2.42,3.28,0.79,2.49,14.57,7.56,7.01,5.38,-1.15,7.79,-1.15,8.68,-1.15,False,False,True,True,True
2025-04-16,JUBLPHARMA,EPISODIC_PIVOT,915.95,19.82,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.21,4.7,915.95,Gap 4.2% 2d ago on 4.7x vol,2,4.21,4.7,77.84,6.41,-19.17,25.35,26.72,2,58.45,True,B,OFFENSIVE,73.15,67.86,10,1,0.6628,336,136,0.33,0.62,-0.29,0.14,3.08,-2.94,4.01,3.7,0.31,-0.98,0.79,-1.77,3.24,7.56,-4.32,1.17,-2.27,5.68,-2.27,5.68,-5.42,False,False,False,True,False
2025-04-16,SYRMA,EPISODIC_PIVOT,494.7,18.42,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.11,4.48,494.7,Gap 4.1% 2d ago on 4.5x vol,2,4.11,4.48,86.89,6.39,-29.52,40.3,33.06,2,28.09,False,B,OFFENSIVE,73.15,67.86,10,1,0.6628,336,136,1.25,0.62,0.63,4.52,3.08,1.44,5.37,3.7,1.67,-5.69,0.79,-6.48,7.06,7.56,-0.5,7.78,-0.75,7.78,-0.75,7.78,-8.27,False,False,True,True,False
2025-04-17,MOTHERSON,EPISODIC_PIVOT,129.67,25.27,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",8.26,3.06,129.67,Gap 8.3% 2d ago on 3.1x vol,2,8.26,3.06,52.08,-0.29,-21.91,30.4,26.92,2,30.71,False,B,OFFENSIVE,74.63,71.67,11,0,0.8096,302,171,2.23,1.83,0.4,4.67,3.14,1.53,3.12,0.45,2.67,7.13,1.53,5.6,13.86,7.39,6.47,5.4,-0.6,6.69,-0.6,7.57,-0.6,False,False,True,True,False
2025-04-23,HCLTECH,EPISODIC_PIVOT,1594.0,17.32,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.07,3.41,1594.0,Gap 5.1% 0d ago on 3.4x vol,0,5.07,3.41,89.34,2.51,-18.94,29.33,26.45,0,15.05,True,B,OFFENSIVE,88.58,82.88,9,0,0.7039,297,176,-0.46,-0.07,-0.39,-2.8,-1.81,-0.99,-1.66,-2.73,1.07,-0.83,-3.99,3.16,2.45,3.37,-0.92,1.51,-3.57,1.51,-3.57,1.51,-3.57,False,False,False,False,False
2025-04-24,HCLTECH,EPISODIC_PIVOT,1586.7,17.32,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.07,3.41,1586.7,Gap 5.1% 1d ago on 3.4x vol,1,5.07,3.41,89.34,2.51,-18.94,29.33,26.45,1,15.05,True,B,DEFENSIVE,86.68,82.66,14,0,0.4047,191,281,-0.54,-2.54,2.0,-1.12,-1.63,0.51,-0.64,-2.81,2.17,-1.09,-4.26,3.17,3.88,3.92,-0.04,1.97,-3.13,1.97,-3.13,1.97,-3.13,False,False,False,False,False
2025-04-25,HCLTECH,EPISODIC_PIVOT,1578.2,17.32,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.07,3.41,1578.2,Gap 5.1% 2d ago on 3.4x vol,2,5.07,3.41,89.34,2.51,-18.94,29.33,26.45,2,15.05,True,B,DEFENSIVE,69.77,74.42,9,0,0.0281,47,426,-1.83,0.82,-2.65,-0.68,-0.12,-0.56,-0.61,1.08,-1.69,5.84,2.22,3.62,6.04,7.26,-1.22,0.61,-2.6,1.24,-2.6,6.13,-2.6,False,False,False,False,False
2025-05-05,GRAVITA,EPISODIC_PIVOT,1935.6,20.85,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.02,4.16,1935.6,Gap 5.0% 0d ago on 4.2x vol,0,5.02,4.16,53.36,1.75,-12.61,34.92,22.45,0,39.49,False,B,OFFENSIVE,68.5,76.32,5,0,0.8725,360,111,-3.35,-2.06,-1.29,-5.3,-2.47,-2.83,-1.95,1.13,-3.08,9.18,5.77,3.41,-4.12,7.27,-11.39,0.8,-6.32,0.8,-9.02,12.11,-9.02,False,False,False,False,True
2025-05-07,GRAVITA,EPISODIC_PIVOT,1905.7,20.85,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.02,4.16,1905.7,Gap 5.0% 2d ago on 4.2x vol,2,5.02,4.16,53.36,1.75,-12.61,34.92,22.45,1,39.49,False,B,OFFENSIVE,56.03,69.34,9,2,0.8241,347,125,-3.81,-1.3,-2.51,-0.41,2.34,-2.75,-0.14,4.18,-4.32,7.67,6.55,1.12,-2.85,8.8,-11.65,2.21,-7.59,2.21,-7.59,13.87,-7.59,False,False,True,False,True
2025-05-12,RPOWER,EPISODIC_PIVOT,42.77,36.65,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",9.7,3.78,42.77,Gap 9.7% 0d ago on 3.8x vol,0,9.7,3.78,56.77,0.87,-3.59,33.26,18.2,0,30.4,False,B,OFFENSIVE,72.73,81.18,16,0,0.9676,446,27,1.73,0.43,1.3,3.58,2.86,0.72,6.83,4.59,2.24,18.49,4.93,13.56,51.09,8.78,42.31,5.45,-0.49,9.26,-0.49,28.83,-0.49,False,False,True,True,True
2025-05-12,IFCI,EPISODIC_PIVOT,43.3,24.58,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",7.03,3.49,43.3,Gap 7.0% 0d ago on 3.5x vol,0,7.03,3.49,64.51,3.1,-30.22,37.35,37.62,0,21.38,False,B,OFFENSIVE,72.73,81.18,16,0,0.9676,446,27,0.25,0.43,-0.18,3.35,2.86,0.49,20.14,4.59,15.55,34.99,4.93,30.06,55.24,8.78,46.46,4.5,-1.8,25.1,-1.8,37.9,-1.8,False,False,True,True,True
2025-05-12,SCHNEIDER,EPISODIC_PIVOT,608.3,20.7,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.09,4.07,608.3,Gap 5.1% 0d ago on 4.1x vol,0,5.09,4.07,63.22,5.06,-19.31,25.28,32.17,0,28.52,True,B,OFFENSIVE,72.73,81.18,16,0,0.9676,446,27,1.95,0.43,1.52,4.08,2.86,1.22,9.47,4.59,4.88,11.57,4.93,6.64,29.14,8.78,20.36,4.87,-0.58,10.96,-0.58,12.44,-0.58,False,False,True,True,True
2025-05-13,RPOWER,EPISODIC_PIVOT,43.51,36.65,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",9.7,3.78,43.51,Gap 9.7% 1d ago on 3.8x vol,1,9.7,3.78,56.77,0.87,-3.59,33.26,18.2,1,30.4,False,B,DEFENSIVE,68.71,82.03,12,1,0.5216,261,211,1.84,1.37,0.47,3.59,3.67,-0.08,2.8,2.84,-0.04,19.6,4.57,15.03,63.73,8.52,55.21,4.27,0.0,7.58,0.0,26.64,0.0,False,False,True,True,True
2025-05-13,IFCI,EPISODIC_PIVOT,43.41,24.58,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",7.03,3.49,43.41,Gap 7.0% 1d ago on 3.5x vol,1,7.03,3.49,64.51,3.1,-30.22,37.35,37.62,1,21.38,False,B,DEFENSIVE,68.71,82.03,12,1,0.5216,261,211,2.03,1.37,0.66,19.26,3.67,15.59,14.21,2.84,11.37,40.66,4.57,36.09,53.49,8.52,44.97,21.58,-0.35,24.79,-0.35,41.56,-0.35,False,False,True,True,True
